ID Viejo,ID Nuevo
34002102,76000
34002107,76001
34002141,76002
34003009,76003
34002521,76004
34002150,76005
34003010,76006
34003008,76007
34002524,76008
34002520,76009
34002123,76010
34002502,76011
34002800,76012
34002110,76013
34002802,76014
34002505,76015
34002503,76016
34002511,76017
34002504,76018
34002519,76019
34002507,76020
34002512,76021
34002508,76022
34002534,76023
34002533,76024
34002510,76025
34002506,76026
34002509,76027
34002145,76028
34002501,76029
34002513,76030
34002104,76031
34002124,76032
34002528,76033
34002801,76034
34002135,76035
34002132,76036
34002130,76037
34002126,76038
34002131,76039
34002125,76040
34003001,76041
34003000,76042
34002146,76043
34002108,76044
34002526,76045
34002500,76046
34002529,76047
34002527,76048
34002103,76049
34002121,76050
34002525,76051
34002523,76052
34002105,76053
34002120,76054
34002140,76055
34003004,76056
34003005,76057
34003007,76058
34002122,76059
34002101,76060
34002115,76061
34002111,76062
34002116,76063
34002160,76064
34002113,76065
34002164,76066
34002114,76067
34002112,76068
34002109,76069
34002117,76070
34002118,76071
34002119,76072
34002522,76073
34002551,76074
34002106,76075
34002530,76076
34002199,76077
34003006,76078
34003002,76079
34003003,76080
34002142,76081
34002911,76082
34002919,76083
34002859,76084
34002174,76085
34002820,76086
34003017,76087
34003011,76088
34003012,76089
34003013,76090
34003014,76091
34003016,76092
34003029,76093
34002230,76094
34002868,76095
34002818,76096
34002819,76097
34002538,76098
34002173,76099
34002963,76100
34002807,76101
34002940,76102
34002246,76103
34002247,76104
34002233,76105
34002816,76106
34002976,76107
34002888,76108
34002829,76109
34002830,76110
34002969,76111
34002152,76112
34002172,76113
34002159,76114
34003020,76115
34003025,76116
34002223,76117
34002874,76118
34002208,76119
34002901,76120
34002861,76121
34002872,76122
34002220,76123
34002162,76124
34003022,76125
34003023,76126
34002804,76127
34002891,76128
34002831,76129
34002925,76130
34002181,76131
34002870,76132
34002826,76133
34002851,76134
34002892,76135
34002852,76136
34002920,76137
34002837,76138
34002835,76139
34002836,76140
34002866,76141
34002867,76142
34002895,76143
34002907,76144
34002941,76145
34002936,76146
34002937,76147
34002934,76148
34002156,76149
34002143,76150
34002211,76151
34002537,76152
34002197,76153
34002151,76154
34002908,76155
34002962,76156
34002244,76157
34002910,76158
34002964,76159
34002953,76160
34002952,76161
34002877,76162
34002979,76163
34002133,76164
34002180,76165
34002168,76166
34002561,76167
34002968,76168
34002540,76169
34002541,76170
34002542,76171
34002136,76172
34002144,76173
34002163,76174
34002167,76175
34002560,76176
34002215,76177
34002858,76178
34002863,76179
34002970,76180
34002188,76181
34002235,76182
34002241,76183
34002238,76184
34002237,76185
34002242,76186
34002248,76187
34002236,76188
34002240,76189
34002189,76190
34002203,76191
34002204,76192
34002239,76193
34002192,76194
34002250,76195
34002251,76196
34002175,76197
34002196,76198
34002202,76199
34002100,76200
34002889,76201
34002884,76202
34002860,76203
34002885,76204
34002190,76205
34002896,76206
34002978,76207
34002917,76208
34002821,76209
34002900,76210
34002545,76211
34002543,76212
34002553,76213
34002862,76214
34002531,76215
34002847,76216
34002856,76217
34002966,76218
34002824,76219
34002865,76220
34002229,76221
34002556,76222
34002217,76223
34002558,76224
34002817,76225
34002812,76226
34002515,76227
34002517,76228
34002972,76229
34002806,76230
34002943,76231
34002942,76232
34002893,76233
34002894,76234
34002260,76235
34002170,76236
34002201,76237
34002944,76238
34002916,76239
34002914,76240
34002915,76241
34002927,76242
34002926,76243
34002178,76244
34002913,76245
34002954,76246
34002956,76247
34002955,76248
34002929,76249
34002928,76250
34002127,76251
34002946,76252
34002137,76253
34002128,76254
34002134,76255
34002171,76256
34002153,76257
34002182,76258
34002183,76259
34002918,76260
34003019,76261
34002825,76262
34003021,76263
34003026,76264
34002550,76265
34002232,76266
34002224,76267
34002221,76268
34002206,76269
34002967,76270
34002129,76271
34002902,76272
34002207,76273
34003024,76274
34002846,76275
34002834,76276
34002845,76277
34002209,76278
34002139,76279
34002965,76280
34002840,76281
34002904,76282
34002191,76283
34002546,76284
34002880,76285
34002841,76286
34002842,76287
34003027,76288
34003028,76289
34002823,76290
34002811,76291
34002843,76292
34002555,76293
34002547,76294
34002514,76295
34002222,76296
34002228,76297
34002210,76298
34002844,76299
34002216,76300
34002138,76301
34002557,76302
34002849,76303
34002898,76304
34002897,76305
34002219,76306
34002871,76307
34002833,76308
34002245,76309
34002905,76310
34002890,76311
34002552,76312
34002516,76313
34002535,76314
34002518,76315
34002544,76316
34002971,76317
34002947,76318
34002982,76319
34002549,76320
34002813,76321
34002814,76322
34002886,76323
34002883,76324
34002165,76325
34002218,76326
34002179,76327
34002899,76328
34002857,76329
34002166,76330
34002554,76331
34002887,76332
34002855,76333
34002187,76334
34002958,76335
34002957,76336
34002959,76337
34002149,76338
34002205,76339
34002184,76340
34002935,76341
34002249,76342
34002176,76343
34002194,76344
34002193,76345
34002195,76346
34002185,76347
34002559,76348
34002214,76349
34002906,76350
34002949,76351
34002951,76352
34002950,76353
34002212,76354
34003015,76355
34002234,76356
34002805,76357
34002948,76358
34002815,76359
34002973,76360
34002839,76361
34002980,76362
34002878,76363
34002879,76364
34002828,76365
34002827,76366
34002850,76367
34002881,76368
34002838,76369
34002848,76370
34002882,76371
34002945,76372
34002909,76373
34002243,76374
34002157,76375
34002198,76376
34002213,76377
34003018,76378
34002808,76379
34002809,76380
34002148,76381
34002231,76382
34002921,76383
34002981,76384
34002161,76385
34002903,76386
34002933,76387
34002875,76388
34002984,76389
34002961,76390
34002177,76391
34002200,76392
34002864,76393
34002939,76394
34002931,76395
34002924,76396
34002923,76397
34002930,76398
34002922,76399
34002932,76400
34002912,76401
34002548,76402
34002169,76403
34002869,76404
34002532,76405
34002539,76406
34002873,76407
34002536,76408
34002155,76409
34002960,76410
34002832,76411
34002147,76412
34002854,76413
34002154,76414
34002853,76415
34002227,76416
34002810,76417
34002158,76418
34002225,76419
34002226,76420
34002876,76421
34002803,76422
34002975,76423
34002974,76424
34002977,76425
34002822,76426
34003051,76427
34003050,76428
34002572,76429
34002562,76430
34002563,76431
34002564,76432
34002568,76433
34002569,76434
34002570,76435
34002571,76436
34002580,76437
34003053,76438
34003052,76439
34002186,76440
34002581,76441
34002588,76442
34002573,76443
34002574,76444
34002575,76445
34002576,76446
34002577,76447
34002578,76448
34002579,76449
34002585,76450
34002586,76451
34002587,76452
34002590,76453
34002591,76454
34002592,76455
34002593,76456
34002594,76457
34002595,76458
34002596,76459
34003030,76460
